,id,date,store_nbr,item_nbr,unit_sales,onpromotion,dcoilwtico,transactions,type
0,585,2013-01-02,1,108696,3.0,0,93.14,2111.0,0
1,1604,2013-01-02,2,108696,5.0,0,93.14,2358.0,0
2,2708,2013-01-02,3,108696,9.0,0,93.14,3487.0,0
3,3908,2013-01-02,4,108696,2.0,0,93.14,1922.0,0
4,4957,2013-01-02,5,108696,4.0,0,93.14,1903.0,0
5,5992,2013-01-02,6,108696,3.0,0,93.14,2143.0,0
6,7117,2013-01-02,7,108696,1.0,0,93.14,1874.0,0
7,8195,2013-01-02,8,108696,10.0,0,93.14,3250.0,0
8,9395,2013-01-02,9,108696,11.0,0,93.14,2940.0,0
9,10414,2013-01-02,10,108696,4.0,0,93.14,1293.0,0
10,11094,2013-01-02,11,108696,9.0,0,93.14,3547.0,0
11,12054,2013-01-02,12,108696,12.0,0,93.14,1362.0,0
12,14101,2013-01-02,15,108696,2.0,0,93.14,1622.0,0
13,14817,2013-01-02,16,108696,3.0,0,93.14,1167.0,0
14,15535,2013-01-02,17,108696,3.0,0,93.14,1580.0,0
15,16286,2013-01-02,18,108696,7.0,0,93.14,1635.0,0
16,17219,2013-01-02,19,108696,5.0,0,93.14,1369.0,0
17,18797,2013-01-02,24,108696,2.0,0,93.14,2605.0,0
18,25754,2013-01-02,34,108696,4.0,0,93.14,2724.0,0
19,29186,2013-01-02,39,108696,1.0,0,93.14,1587.0,0
20,30120,2013-01-02,40,108696,4.0,0,93.14,1178.0,0
21,32302,2013-01-02,44,108696,6.0,0,93.14,4821.0,0
22,33555,2013-01-02,45,108696,21.0,0,93.14,4208.0,0
23,34788,2013-01-02,46,108696,55.0,0,93.14,4886.0,0
24,35967,2013-01-02,47,108696,31.0,0,93.14,4161.0,0
25,37176,2013-01-02,48,108696,22.0,0,93.14,3397.0,0
26,38297,2013-01-02,49,108696,5.0,0,93.14,2346.0,0
27,39457,2013-01-02,50,108696,9.0,0,93.14,3077.0,0
28,40598,2013-01-02,51,108696,3.0,0,93.14,1985.0,0
29,41652,2013-01-02,54,108696,2.0,0,93.14,998.0,0
30,43229,2013-01-03,2,108696,3.0,0,92.97,2033.0,0
31,44264,2013-01-03,3,108696,5.0,0,92.97,3026.0,0
32,45437,2013-01-03,4,108696,2.0,0,92.97,1551.0,0
33,46430,2013-01-03,5,108696,3.0,0,92.97,1740.0,0
34,47434,2013-01-03,6,108696,5.0,0,92.97,1795.0,0
35,49574,2013-01-03,8,108696,5.0,0,92.97,2904.0,0
36,50704,2013-01-03,9,108696,1.0,0,92.97,2396.0,0
37,51693,2013-01-03,10,108696,6.0,0,92.97,1157.0,0
38,52330,2013-01-03,11,108696,9.0,0,92.97,2675.0,0
39,53236,2013-01-03,12,108696,4.0,0,92.97,1248.0,0
40,53926,2013-01-03,13,108696,3.0,0,92.97,916.0,0
41,55221,2013-01-03,15,108696,1.0,0,92.97,1512.0,0
42,55939,2013-01-03,16,108696,9.0,0,92.97,1101.0,0
43,56647,2013-01-03,17,108696,7.0,0,92.97,1339.0,0
44,57356,2013-01-03,18,108696,6.0,0,92.97,1484.0,0
45,58196,2013-01-03,19,108696,2.0,0,92.97,1098.0,0
46,59699,2013-01-03,24,108696,2.0,0,92.97,2462.0,0
47,63802,2013-01-03,30,108696,3.0,0,92.97,689.0,0
48,66329,2013-01-03,34,108696,4.0,0,92.97,2348.0,0
49,70635,2013-01-03,40,108696,1.0,0,92.97,1171.0,0
50,72107,2013-01-03,43,108696,2.0,0,92.97,1334.0,0
51,72732,2013-01-03,44,108696,6.0,0,92.97,3618.0,0
52,73952,2013-01-03,45,108696,15.0,0,92.97,3314.0,0
53,75151,2013-01-03,46,108696,26.0,0,92.97,3438.0,0
54,76289,2013-01-03,47,108696,9.0,0,92.97,3660.0,0
55,77476,2013-01-03,48,108696,14.0,0,92.97,2887.0,0
56,78562,2013-01-03,49,108696,1.0,0,92.97,1702.0,0
57,79632,2013-01-03,50,108696,6.0,0,92.97,2307.0,0
58,80717,2013-01-03,51,108696,2.0,0,92.97,1644.0,0
59,81749,2013-01-03,54,108696,1.0,0,92.97,920.0,0
60,82362,2013-01-04,1,108696,2.0,0,93.12,1863.0,0
61,83314,2013-01-04,2,108696,2.0,0,93.12,2066.0,0
62,84367,2013-01-04,3,108696,2.0,0,93.12,3188.0,0
63,85556,2013-01-04,4,108696,1.0,0,93.12,1596.0,0
64,86583,2013-01-04,5,108696,3.0,0,93.12,1642.0,0
65,87583,2013-01-04,6,108696,1.0,0,93.12,1679.0,0
66,88673,2013-01-04,7,108696,2.0,0,93.12,1513.0,0
67,89682,2013-01-04,8,108696,4.0,0,93.12,2962.0,0
68,92398,2013-01-04,11,108696,8.0,0,93.12,2515.0,0
69,93314,2013-01-04,12,108696,3.0,0,93.12,1064.0,0
70,93993,2013-01-04,13,108696,3.0,0,93.12,879.0,0
71,96003,2013-01-04,16,108696,5.0,0,93.12,977.0,0
72,96670,2013-01-04,17,108696,3.0,0,93.12,1139.0,0
73,97385,2013-01-04,18,108696,2.0,0,93.12,1238.0,0
74,98179,2013-01-04,19,108696,2.0,0,93.12,1003.0,0
75,99671,2013-01-04,24,108696,6.0,0,93.12,2607.0,0
76,103754,2013-01-04,30,108696,2.0,0,93.12,689.0,0
77,106248,2013-01-04,34,108696,1.0,0,93.12,2369.0,0
78,108696,2013-01-04,38,177050,9.0,0,93.12,1723.0,0
79,112578,2013-01-04,44,108696,3.0,0,93.12,4169.0,0
80,113816,2013-01-04,45,108696,13.0,0,93.12,3630.0,0
81,115043,2013-01-04,46,108696,26.0,0,93.12,3434.0,0
82,116209,2013-01-04,47,108696,22.0,0,93.12,3915.0,0
83,117420,2013-01-04,48,108696,9.0,0,93.12,2900.0,0
84,118546,2013-01-04,49,108696,4.0,0,93.12,2016.0,0
85,119668,2013-01-04,50,108696,6.0,0,93.12,2698.0,0
86,121840,2013-01-04,54,108696,1.0,0,93.12,794.0,0
87,122411,2013-01-05,1,108696,2.0,0,93.12,1509.0,0
88,123410,2013-01-05,2,108696,1.0,0,93.12,2062.0,0
89,124532,2013-01-05,3,108696,11.0,0,93.12,3623.0,0
90,125753,2013-01-05,4,108696,1.0,0,93.12,1825.0,0
91,126847,2013-01-05,5,108696,2.0,0,93.12,1643.0,0
92,129022,2013-01-05,7,108696,2.0,0,93.12,1599.0,0
93,130069,2013-01-05,8,108696,6.0,0,93.12,3060.0,0
94,131269,2013-01-05,9,108696,13.0,0,93.12,2604.0,0
95,132296,2013-01-05,10,108696,10.0,0,93.12,1269.0,0
96,132986,2013-01-05,11,108696,11.0,0,93.12,3052.0,0
97,134662,2013-01-05,13,108696,5.0,0,93.12,1336.0,0
98,136059,2013-01-05,15,108696,5.0,0,93.12,1543.0,0
99,136792,2013-01-05,16,108696,7.0,0,93.12,1109.0,0
100,137519,2013-01-05,17,108696,2.0,0,93.12,1433.0,0
101,138281,2013-01-05,18,108696,3.0,0,93.12,1323.0,0
102,139187,2013-01-05,19,108696,3.0,0,93.12,1713.0,0
103,147960,2013-01-05,34,108696,6.0,0,93.12,2599.0,0
104,154684,2013-01-05,44,108696,18.0,0,93.12,4921.0,0
105,155952,2013-01-05,45,108696,17.0,0,93.12,4331.0,0
106,157211,2013-01-05,46,108696,19.0,0,93.12,4935.0,0
107,158425,2013-01-05,47,108696,19.0,0,93.12,4764.0,0
